date,equity
2015-01-01,100000.0
2015-01-02,100000.0
2015-01-05,100000.0
2015-01-06,100000.0
2015-01-07,100000.0
2015-01-08,100000.0
2015-01-09,100000.0
2015-01-12,100000.0
2015-01-13,100000.0
2015-01-14,100000.0
2015-01-15,100000.0
2015-01-16,100000.0
2015-01-19,100000.0
2015-01-20,100000.0
2015-01-21,100000.0
2015-01-22,100000.0
2015-01-23,100000.0
2015-01-26,100000.0
2015-01-27,100000.0
2015-01-28,100000.0
2015-01-29,100000.0
2015-01-30,99718.385038139
2015-02-02,101377.27422138519
2015-02-03,103215.13561035511
2015-02-04,102439.43749556704
2015-02-05,104176.64249853455
2015-02-06,104211.37423288569
2015-02-09,103701.97864053935
2015-02-10,103422.76426127463
2015-02-11,103245.80771228284
2015-02-12,105906.37891628705
2015-02-13,105705.00433448108
2015-02-16,104197.67693182641
2015-02-17,103899.74701751908
2015-02-18,105270.50581192371
2015-02-19,100878.40004210183
2015-02-20,101705.0
2015-02-23,101705.0
2015-02-24,101705.0
2015-02-25,101705.0
2015-02-26,101705.0
2015-02-27,101705.0
2015-03-02,101705.0
2015-03-03,101881.13570002353
2015-03-04,101741.44177845013
2015-03-05,100037.46070866598
2015-03-06,99229.91668550177
2015-03-09,101947.18062069564
2015-03-10,100041.50766702995
2015-03-11,98924.84951114169
2015-03-12,99868.40516551686
2015-03-13,97036.63554924566
2015-03-16,98240.0
2015-03-17,98240.0
2015-03-18,98240.0
2015-03-19,98240.0
2015-03-20,98240.0
2015-03-23,98240.0
2015-03-24,98240.0
2015-03-25,98240.0
2015-03-26,98240.0
2015-03-27,98240.0
2015-03-30,98240.0
2015-03-31,98240.0
2015-04-01,98240.0
2015-04-02,98240.0
2015-04-03,98240.0
2015-04-06,98240.0
2015-04-07,97245.99536933553
2015-04-08,97507.95815734507
2015-04-09,96297.57198399285
2015-04-10,96245.0
2015-04-13,96725.18450196584
2015-04-14,94103.00086554776
2015-04-15,95084.90270062197
2015-04-16,95809.33619281462
2015-04-17,95546.35396286105
2015-04-20,95357.66995717074
2015-04-21,94502.15886926641
2015-04-22,93858.31580000925
2015-04-23,95086.49696250001
2015-04-24,95161.07081811814
2015-04-27,96011.30449275316
2015-04-28,97005.5444471324
2015-04-29,95848.851506631
2015-04-30,95600.95857393637
2015-05-01,95673.27603685211
2015-05-04,97897.07899187096
2015-05-05,100700.06074866334
2015-05-06,99835.063942918
2015-05-07,102720.6619728922
2015-05-08,101411.83421554393
2015-05-11,101152.6405803422
2015-05-12,103669.17407277042
2015-05-13,101553.63070956663
2015-05-14,99093.78699107018
2015-05-15,99150.72694848162
2015-05-18,101362.75842705408
2015-05-19,99473.76847547633
2015-05-20,100335.26131279639
2015-05-21,100367.30506945211
2015-05-22,101645.38345147365
2015-05-25,102586.4915391477
2015-05-26,102789.01214580653
2015-05-27,101133.69193574932
2015-05-28,101057.70037221123
2015-05-29,102165.8663037542
2015-06-01,103466.32295034616
2015-06-02,104033.5147610985
2015-06-03,104474.88744688388
2015-06-04,106688.9268846652
2015-06-05,107948.35230056985
2015-06-08,107937.079622322
2015-06-09,107340.4171456439
2015-06-10,105008.46167065592
2015-06-11,107340.1516036081
2015-06-12,107625.95991954941
2015-06-15,110162.65796789144
2015-06-16,110148.82610454537
2015-06-17,109983.52065571232
2015-06-18,111134.23489695374
2015-06-19,110361.0301853862
2015-06-22,113052.73624957922
2015-06-23,114913.75943916937
2015-06-24,112785.59268370822
2015-06-25,113533.27227052349
2015-06-26,113025.6492760814
2015-06-29,114416.77176029471
2015-06-30,113383.5624356903
2015-07-01,113806.81936276975
2015-07-02,113993.63082053322
2015-07-03,113908.6649791655
2015-07-06,110231.91234398544
2015-07-07,110607.5
2015-07-08,110607.5
2015-07-09,110607.5
2015-07-10,110607.5
2015-07-13,110607.5
2015-07-14,111489.40888158546
2015-07-15,113074.49523510586
2015-07-16,112804.20690305575
2015-07-17,116426.74766653741
2015-07-20,116916.48535225459
2015-07-21,119197.91933024085
2015-07-22,124048.6821374625
2015-07-23,127960.16303654591
2015-07-24,125052.54513691069
2015-07-27,120406.24951885425
2015-07-28,120456.4624831743
2015-07-29,122678.61790209886
2015-07-30,118540.43650740347
2015-07-31,113277.97144398004
2015-08-03,111177.5
2015-08-04,111177.5
2015-08-05,111177.5
2015-08-06,111177.5
2015-08-07,111177.5
2015-08-10,111177.5
2015-08-11,111863.01679995841
2015-08-12,111652.67422450539
2015-08-13,112683.98367905049
2015-08-14,113829.65727622961
2015-08-17,117337.33547746475
2015-08-18,118958.63151296847
2015-08-19,118125.78941633945
2015-08-20,117325.32350443113
2015-08-21,112882.98215871298
2015-08-24,113999.90696669894
2015-08-25,113960.35915911089
2015-08-26,117062.10121312586
2015-08-27,117987.43326469227
2015-08-28,116317.62444185725
2015-08-31,113530.70391808759
2015-09-01,120618.11053265704
2015-09-02,122763.12527692858
2015-09-03,128875.1203491531
2015-09-04,138743.49741837935
2015-09-07,136187.88909490267
2015-09-08,139619.67771095905
2015-09-09,142326.78530001928
2015-09-10,139042.9370717798
2015-09-11,138551.6340570898
2015-09-14,138361.21609563718
2015-09-15,135972.63414902112
2015-09-16,134307.23045181073
2015-09-17,133633.05588713218
2015-09-18,136714.72618735963
2015-09-21,133925.55468536093
2015-09-22,137683.9117279507
2015-09-23,138056.34572575285
2015-09-24,138046.45578487194
2015-09-25,141897.02886958877
2015-09-28,133928.18003597963
2015-09-29,131777.49999999997
2015-09-30,131777.49999999997
2015-10-01,131777.49999999997
2015-10-02,131777.49999999997
2015-10-05,131777.49999999997
2015-10-06,131777.49999999997
2015-10-07,131777.49999999997
2015-10-08,131777.49999999997
2015-10-09,131777.49999999997
2015-10-12,131777.49999999997
2015-10-13,131777.49999999997
2015-10-14,131777.49999999997
2015-10-15,131777.49999999997
2015-10-16,131777.49999999997
2015-10-19,131777.49999999997
2015-10-20,132283.90532418495
2015-10-21,131715.46079592506
2015-10-22,131404.2595201703
2015-10-23,131508.94691172222
2015-10-26,134812.68727250464
2015-10-27,133890.15059104277
2015-10-28,131118.78199493294
2015-10-29,136442.1643777834
2015-10-30,138183.73548796767
2015-11-02,133602.7205638334
2015-11-03,133415.78941612877
2015-11-04,136359.11751298187
2015-11-05,135074.40949344082
2015-11-06,134349.36389767655
2015-11-09,128769.3794449446
2015-11-10,129939.99999999997
2015-11-11,129939.99999999997
2015-11-12,129939.99999999997
2015-11-13,129939.99999999997
2015-11-16,129939.99999999997
2015-11-17,129939.99999999997
2015-11-18,129939.99999999997
2015-11-19,129939.99999999997
2015-11-20,129939.99999999997
2015-11-23,129939.99999999997
2015-11-24,129939.99999999997
2015-11-25,129939.99999999997
2015-11-26,129939.99999999997
2015-11-27,129939.99999999997
2015-11-30,129939.99999999997
2015-12-01,128671.89476073539
2015-12-02,127334.60423480405
2015-12-03,127339.99999999997
2015-12-04,127339.99999999997
2015-12-07,128436.16433363996
2015-12-08,126497.88107820951
2015-12-09,125217.90397581032
2015-12-10,128954.15698034581
