date,open,high,low,close,volume
2024-07-22,1.2925000190734863,1.2935999631881714,1.291200041770935,1.292799949645996,195.0
2024-07-23,1.2936999797821045,1.2936999797821045,1.2894999980926514,1.2905999422073364,91.0
2024-07-24,1.2900999784469604,1.2932000160217285,1.288599967956543,1.2905999422073364,76.0
2024-07-25,1.2910000085830688,1.2914999723434448,1.2851999998092651,1.2862000465393066,289.0
2024-07-26,1.2865999937057495,1.2878999710083008,1.285599946975708,1.287500023841858,205.0
2024-07-29,1.2884999513626099,1.2888000011444092,1.281000018119812,1.2867000102996826,99.0
2024-07-30,1.2860000133514404,1.2862999439239502,1.2833000421524048,1.2834999561309814,89.0
2024-07-31,1.2843999862670898,1.2860000133514404,1.2827999591827393,1.2857999801635742,54.0
2024-08-01,1.2853000164031982,1.285599946975708,1.2730000019073486,1.2730000019073486,475.0
2024-08-02,1.273800015449524,1.2839000225067139,1.2723000049591064,1.2807999849319458,213.0
2024-08-05,1.2788000106811523,1.280500054359436,1.2714999914169312,1.2760000228881836,1166.0
2024-08-06,1.2797000408172607,1.2797000408172607,1.2681000232696533,1.2698999643325806,1054.0
2024-08-07,1.2698999643325806,1.2728999853134155,1.2685999870300293,1.2685999870300293,261.0
2024-08-08,1.2684999704360962,1.2753000259399414,1.2668999433517456,1.2752000093460083,322.0
2024-08-09,1.274999976158142,1.2766000032424927,1.2731000185012817,1.2759000062942505,155.0
2024-08-12,1.274999976158142,1.2786999940872192,1.274999976158142,1.2770999670028687,12.0
2024-08-13,1.2793999910354614,1.2869999408721924,1.2786999940872192,1.2869999408721924,299.0
2024-08-14,1.2860000133514404,1.2862000465393066,1.2831000089645386,1.2831000089645386,298.0
2024-08-15,1.282099962234497,1.2862999439239502,1.2802000045776367,1.2862999439239502,558.0
2024-08-16,1.285599946975708,1.2943999767303467,1.285599946975708,1.2943999767303467,81.0
2024-08-19,1.2940000295639038,1.2976000308990479,1.2940000295639038,1.2976000308990479,100310.0
2024-08-20,1.2997000217437744,1.3056999444961548,1.2977999448776245,1.3035000562667847,117174.0
2024-08-21,1.3037999868392944,1.3125,1.3014999628067017,1.3109999895095825,128743.0
2024-08-22,1.309399962425232,1.3134000301361084,1.3079999685287476,1.3095999956130981,113823.0
2024-08-23,1.309399962425232,1.3233000040054321,1.3091000318527222,1.3206000328063965,185988.0
2024-08-26,1.3215999603271484,1.32260000705719,1.3184000253677368,1.3193999528884888,75313.0
2024-08-27,1.319100022315979,1.3270000219345093,1.3184000253677368,1.326300024986267,93320.0
2024-08-28,1.326300024986267,1.3265999555587769,1.3171000480651855,1.3188999891281128,118391.0
2024-08-29,1.3194999694824219,1.3229999542236328,1.3148000240325928,1.3172999620437622,105577.0
2024-08-30,1.3167999982833862,1.3202999830245972,1.3112000226974487,1.3125,109242.0
