date,equity
2015-01-01,100000.0
2015-01-02,100000.0
2015-01-05,100000.0
2015-01-06,100000.0
2015-01-07,100000.0
2015-01-08,100000.0
2015-01-09,100000.0
2015-01-12,100000.0
2015-01-13,100000.0
2015-01-14,100000.0
2015-01-15,100000.0
2015-01-16,100000.0
2015-01-19,100000.0
2015-01-20,100000.0
2015-01-21,100000.0
2015-01-22,100000.0
2015-01-23,100000.0
2015-01-26,100000.0
2015-01-27,100000.0
2015-01-28,100000.0
2015-01-29,100000.0
2015-01-30,100000.0
2015-02-02,100000.0
2015-02-03,100000.0
2015-02-04,100000.0
2015-02-05,100000.0
2015-02-06,100000.0
2015-02-09,100000.0
2015-02-10,100000.0
2015-02-11,100000.0
2015-02-12,100000.0
2015-02-13,100000.0
2015-02-16,100000.0
2015-02-17,100000.0
2015-02-18,100000.0
2015-02-19,100000.0
2015-02-20,100000.0
2015-02-23,100000.0
2015-02-24,100000.0
2015-02-25,100000.0
2015-02-26,100000.0
2015-02-27,100000.0
2015-03-02,100000.0
2015-03-03,100000.0
2015-03-04,100000.0
2015-03-05,100000.0
2015-03-06,100000.0
2015-03-09,100000.0
2015-03-10,100000.0
2015-03-11,100000.0
2015-03-12,100000.0
2015-03-13,100000.0
2015-03-16,100000.0
2015-03-17,100000.0
2015-03-18,100000.0
2015-03-19,100000.0
2015-03-20,100000.0
2015-03-23,100000.0
2015-03-24,100000.0
2015-03-25,100000.0
2015-03-26,100000.0
2015-03-27,100000.0
2015-03-30,100000.0
2015-03-31,100000.0
2015-04-01,100000.0
2015-04-02,100000.0
2015-04-03,100000.0
2015-04-06,100000.0
2015-04-07,100000.0
2015-04-08,100000.0
2015-04-09,100000.0
2015-04-10,100000.0
2015-04-13,100000.0
2015-04-14,99427.00021638694
2015-04-15,99672.4756751555
2015-04-16,99853.58404820366
2015-04-17,99787.83849071526
2015-04-20,99740.66748929268
2015-04-21,99526.7897173166
2015-04-22,99365.82895000231
2015-04-23,99672.874240625
2015-04-24,99691.51770452954
2015-04-27,99904.0761231883
2015-04-28,100152.6361117831
2015-04-29,99501.9257533155
2015-04-30,99377.97928696818
2015-05-01,99414.13801842605
2015-05-04,100526.03949593547
2015-05-05,101735.57009394432
2015-05-06,101159.23069260064
2015-05-07,102544.31774698825
2015-05-08,101916.08042346108
2015-05-11,101791.66747856425
2015-05-12,102999.60355492981
2015-05-13,101984.14274059198
2015-05-14,100803.41775571369
2015-05-15,100830.74893527119
2015-05-18,101892.52404498596
2015-05-19,100985.80886822863
2015-05-20,101399.32543014227
2015-05-21,101414.706433337
2015-05-22,102028.18405670735
2015-05-25,102479.9159387909
2015-05-26,102577.12582998713
2015-05-27,101782.57212915967
2015-05-28,101746.09617866139
2015-05-29,102278.01582580201
2015-06-01,102902.23501616616
2015-06-02,103174.48708532727
2015-06-03,103386.34597450426
2015-06-04,104449.0849046393
2015-06-05,105053.60910427352
2015-06-08,105048.19821871456
2015-06-09,104761.80022990907
2015-06-10,103642.46160191484
2015-06-11,104761.6727697319
2015-06-12,104898.86076138372
2015-06-15,106116.47582458789
2015-06-16,106109.83653018178
2015-06-17,106030.4899147419
2015-06-18,106582.8327505378
2015-06-19,106211.69448898538
2015-06-22,107503.71339979803
2015-06-23,108397.0045308013
2015-06-24,107375.48448817995
2015-06-25,107734.37068985128
2015-06-26,107490.71165251908
2015-06-29,108158.45044494147
2015-06-30,107662.50996913134
2015-07-01,107865.67329412948
2015-07-02,107955.34279385595
2015-07-03,107914.55918999945
2015-07-06,106149.71792511301
2015-07-07,106556.77516213112
2015-07-08,107586.01363877462
2015-07-09,106846.07651664961
2015-07-10,106087.1413218714
2015-07-13,105104.84871723066
2015-07-14,105430.0
2015-07-15,105430.0
2015-07-16,105430.0
2015-07-17,105430.0
2015-07-20,105430.0
2015-07-21,105430.0
2015-07-22,105430.0
2015-07-23,105909.92062274886
2015-07-24,105486.12851746687
2015-07-27,103678.27286804415
2015-07-28,103694.79029051786
2015-07-29,102830.0
2015-07-30,102830.0
2015-07-31,102830.0
2015-08-03,102830.0
2015-08-04,102830.0
2015-08-05,102830.0
2015-08-06,102830.0
2015-08-07,102830.0
2015-08-10,102830.0
2015-08-11,102830.0
2015-08-12,102830.0
2015-08-13,102830.0
2015-08-14,102830.0
2015-08-17,102830.0
2015-08-18,103224.98645862498
2015-08-19,103229.60900944902
2015-08-20,102854.96805866211
2015-08-21,101331.87959727303
2015-08-24,101714.82524572535
2015-08-25,101701.26599740946
2015-08-26,102764.72041592887
2015-08-27,103081.97711932307
2015-08-28,102509.47123720821
2015-08-31,101553.9556290586
2015-09-01,103983.9236111967
2015-09-02,104949.14298373878
2015-09-03,107743.19787389858
2015-09-04,112254.45596268772
2015-09-07,111086.17787195552
2015-09-08,112654.99552500986
2015-09-09,113892.53042286597
2015-09-10,112391.34266138506
2015-09-11,112166.74699752677
2015-09-14,112079.698786577
2015-09-15,110987.77561098109
2015-09-16,110226.44820654205
2015-09-17,109918.25411983186
2015-09-18,111327.01768565012
2015-09-21,110051.96785616499
2015-09-22,111770.07393277748
2015-09-23,111940.32947462989
2015-09-24,111935.80835879862
2015-09-25,113696.07034038345
2015-09-28,110053.16801644783
2015-09-29,108986.51260299212
2015-09-30,108450.47677009553
2015-10-01,112050.78233488742
2015-10-02,111701.31714115026
2015-10-05,113075.42383407915
2015-10-06,113418.21158689765
2015-10-07,113639.54654524504
2015-10-08,112058.96840286747
2015-10-09,111597.08454751581
2015-10-12,110266.6357824267
2015-10-13,110781.87303003848
2015-10-14,113227.44102345724
2015-10-15,111136.39375777489
2015-10-16,109820.35563253838
2015-10-19,107445.47964589918
2015-10-20,107870.0
2015-10-21,107870.0
2015-10-22,107870.0
2015-10-23,107870.0
2015-10-26,107870.0
2015-10-27,107870.0
2015-10-28,107870.0
2015-10-29,107870.0
2015-10-30,107870.0
2015-11-02,107870.0
2015-11-03,107870.0
2015-11-04,107870.0
2015-11-05,107870.0
2015-11-06,107870.0
2015-11-09,107870.0
2015-11-10,107870.0
2015-11-11,107870.0
2015-11-12,107870.0
2015-11-13,107870.0
2015-11-16,107870.0
2015-11-17,107870.0
2015-11-18,107870.0
2015-11-19,107870.0
2015-11-20,107870.0
2015-11-23,107870.0
2015-11-24,107870.0
2015-11-25,107870.0
2015-11-26,107870.0
2015-11-27,107870.0
2015-11-30,107870.0
2015-12-01,107870.0
2015-12-02,107870.0
2015-12-03,107870.0
2015-12-04,107870.0
2015-12-07,107870.0
2015-12-08,107342.71180593884
2015-12-09,107361.48628225861
2015-12-10,107895.23671147798
2015-12-11,108249.32495305588
2015-12-14,106761.47003477985
2015-12-15,106965.40880164676
2015-12-16,106833.94994956271
2015-12-17,106985.71873063488
2015-12-18,107193.52789514391
2015-12-21,107125.06400302117
2015-12-22,107075.43871389281
2015-12-23,107423.57985601405
2015-12-24,108705.57620930675
2015-12-25,109335.65992984975
2015-12-28,103551.02059155803
2015-12-29,105177.5
2015-12-30,105177.5
2015-12-31,105177.5
